82 #Width Height
200 #Generations
16 11
60 12
61 41
50 25
32 65
42 23
65 15
70 40
57 18
55 39
27 77
26 14
50 18
63 8
49 2
33 51
71 0
42 16
36 26
6 69
45 74
9 72
45 67
14 6
51 9
24 45
69 32
43 8
66 11
19 55
29 74
28 48
37 28
22 55
47 40
34 39
41 38
68 43
10 37
38 43
38 14
50 6
3 70
22 0
30 43
60 73
49 54
1 56
2 28
77 74
33 6
24 66
13 25
48 0
43 72
39 3
68 36
24 75
67 40
10 43
54 2
23 50
43 37
56 47
32 15
42 49
3 17
51 11
29 48
10 42
61 10
32 12
32 7
4 30
28 9
12 37
35 39
26 77
11 37
46 31
36 3
9 10
70 54
12 68
60 25
63 78
66 8
0 17
63 71
12 39
2 41
46 59
66 14
11 38
80 25
79 5
15 12
70 77
26 13
17 29
44 28
21 39
21 74
13 66
21 26
21 79
76 55
77 73
72 60
24 30
55 10
61 26
65 0
60 38
22 37
47 14
53 66
61 35
12 79
48 45
2 4
61 80
54 12
1 18
9 46
43 65
61 41
52 28
30 79
53 48
56 20
71 2
36 22
49 75
51 58
71 41
76 30
41 54
24 66
53 49
58 76
75 60
45 65
35 10
62 33
15 66
11 16
39 1
12 7
54 18
1 19
29 13
0 46
36 72
73 67
18 47
32 12
76 74
56 8
27 70
3 26
21 62
68 76
16 35
37 34
46 21
51 9
17 15
73 71
54 14
77 62
52 80
58 13
12 41
60 51
1 57
30 3
77 9
57 1
43 51
76 54
4 38
62 74
16 59
27 44
28 55
43 5
39 7
28 56
53 56
25 40
18 45
48 25
26 60
2 9
50 21
26 19
37 59
46 47
50 22
19 20
54 54
16 28
11 49
17 4
2 18
55 52
46 24
72 40
19 65
41 17
53 75
69 73
15 37
64 0
68 24
12 46
59 44
74 22
49 31
11 3
15 68
31 20
19 36
32 18
59 72
71 54
54 52
49 19
27 3
15 76
54 54
71 73
78 5
62 73
71 39
8 42
12 33
67 59
33 59
3 4
20 40
77 17
75 59
61 0
8 66
21 40
33 37
33 13
32 66
54 13
68 34
13 72
17 11
42 7
79 11
55 54
75 55
77 17
16 24
20 7
0 25
20 20
78 53
28 38
4 39
41 24
26 17
64 8
56 24
20 33
5 14
35 76
35 24
52 12
79 21
7 4
41 72
7 57
29 14
18 0
2 71
51 31
50 34
36 34
60 30
4 15
43 79
28 49
36 51
31 17
59 22
63 15
62 42
55 2
49 58
16 77
13 61
54 25
11 26
67 46
35 2
7 5
31 14
77 56
55 49
51 35
78 45
17 5
39 9
79 79
47 38
24 26
16 69
7 76
56 15
23 21
64 80
34 32
79 74
34 14
6 11
62 76
79 27
5 65
59 29
24 25
76 72
39 75
39 55
55 72
49 58
40 17
51 16
80 22
11 42
74 72
21 56
43 7
50 63
7 74
41 36
7 56
73 8
22 42
80 63
22 79
23 62
27 65
22 72
69 79
75 63
38 65
15 41
0 73
29 6
11 19
10 4
33 80
61 2
67 22
24 40
37 43
3 36
43 22
46 24
1 40
80 61
2 7
47 21
73 16
38 18
2 11
33 63
19 39
34 40
34 62
7 65
39 11
57 72
55 53
41 27
44 4
45 33
52 75
79 69
31 42
77 39
57 37
48 73
65 61
60 13
50 37
51 36
19 62
3 2
43 41
7 0
59 35
75 28
45 14
19 20
32 8
72 33
70 47
52 69
38 4
67 54
2 62
4 62
64 13
19 44
63 56
79 27
77 24
26 27
49 36
27 29
80 77
18 23
5 18
73 57
41 77
50 44
24 62
68 49
2 34
37 39
69 63
37 38
19 37
73 9
44 78
60 41
53 9
53 32
45 63
21 31
5 12
16 51
66 35
39 62
33 39
65 8
70 80
64 66
34 42
59 30
60 10
52 23
71 74
71 19
6 15
70 59
30 79
20 73
62 41
71 72
40 67
46 79
13 63
9 22
62 11
9 42
39 76
44 57
66 25
21 21
73 29
67 43
27 73
57 28
47 15
10 40
60 57
51 68
50 42
65 55
62 19
26 37
64 22
25 52
19 28
22 10
41 79
34 36
12 20
69 26
44 14
60 50
15 72
19 11
61 69
6 53
80 47
38 63
68 46
74 25
63 55
20 46
46 57
62 38
12 55
67 80
61 41
75 79
61 47
1 34
61 72
20 33
32 27
52 55
9 49
27 41
71 5
76 79
3 76
69 34
39 60
25 53
0 73
50 0
6 71
63 57
54 78
53 16
13 16
39 17
71 19
51 78
12 57
69 70
73 70
77 52
47 75
43 54
72 59
30 35
76 49
58 55
79 27
23 31
43 19
33 75
61 33
2 49
40 8
34 19
73 3
6 23
9 66
15 52
20 28
42 60
70 3
73 68
31 54
32 18
66 33
43 44
40 44
30 27
34 71
63 5
61 12
21 43
76 16
55 10
51 80
59 76
57 33
49 40
0 54
41 44
8 67
21 51
38 52
39 0
71 12
61 14
71 16
29 14
19 22
9 52
35 16
47 17
44 9
20 75
23 64
14 12
67 42
76 28
70 54
79 74
61 38
12 11
29 31
60 65
28 69
23 9
44 45
30 44
71 50
20 23
71 54
76 38
9 25
35 37
79 11
78 80
63 62
79 60
30 68
13 66
31 76
66 34
58 56
19 6
23 69
2 53
14 21
60 53
74 33
56 47
73 16
31 2
8 42
59 20
0 36
6 66
76 55
9 23
41 61
73 58
17 75
74 72
0 31
79 68
38 1
50 57
65 1
21 55
79 45
24 59
26 37
42 67
1 55
6 19
42 60
42 61
25 44
21 15
2 70
42 53
54 21
80 80
35 70
37 59
10 0
44 20
43 45
24 22
73 18
24 23
55 68
62 42
35 77
22 57
26 55
50 33
23 17
20 20
20 63
22 44
74 5
21 30
52 54
23 71
65 20
20 26
10 14
64 18
76 12
34 24
44 73
11 59
63 60
24 11
60 59
10 44
49 55
8 38
79 41
17 29
79 59
25 74
63 8
37 54
66 11
38 58
75 73
33 75
3 55
15 69
33 27
58 16
67 41
62 20
9 41
46 48
3 66
25 39
20 54
45 65
33 8
47 16
40 8
78 70
30 28
55 13
72 49
7 34
